professor,cucumber,0.31
monk,slave,0.92
psychology,discipline,5.58
life,death,7.88
announcement,production,3.38
word,similarity,4.75
drink,car,3.04
precedent,group,1.77
tiger,cat,7.35
situation,isolation,3.88
dividend,payment,7.63
bird,cock,7.1
announcement,news,7.56
century,nation,3.16
cemetery,woodland,2.08
cup,article,2.4
fuck,sex,9.44
street,block,6.88
tiger,mammal,6.85
peace,insurance,2.94
smart,student,4.62
seafood,lobster,8.7
Harvard,Yale,8.13
architecture,century,3.78
peace,plan,4.75
stock,phone,1.62
president,medal,3.0
money,cash,9.15
morality,importance,3.31
Japanese,American,6.5
Arafat,Jackson,2.5
month,hotel,1.81
life,term,4.5
money,dollar,8.42
smart,stupid,5.81
lad,brother,4.46
furnace,stove,8.79
tiger,jaguar,8.0
coast,forest,3.15
man,woman,8.3
vodka,brandy,8.13
forest,graveyard,1.85
drink,ear,1.31
doctor,personnel,5.0
theater,history,3.91
bishop,rabbi,6.69
car,flight,4.94
stock,life,0.92
money,currency,9.04
ministry,culture,4.69
dollar,buck,9.22
start,year,4.06
focus,life,4.06
street,place,6.44
cup,entity,2.15
century,year,7.59
image,surface,4.56
cup,artifact,2.92
chord,smile,0.54
mile,kilometer,8.66
listing,proximity,2.56
deployment,departure,4.25
man,governor,5.25
jaguar,car,7.27
glass,metal,5.56
food,fruit,7.52
direction,combination,2.25
bread,butter,6.19
profit,loss,7.63
production,hike,1.75
football,soccer,9.03
consumer,energy,4.75
midday,noon,9.29
school,center,3.44
possibility,girl,1.94
practice,institution,3.19
media,radio,7.42
magician,wizard,9.02
liquid,water,7.89
consumer,confidence,4.13
king,rook,5.92
boy,lad,8.83
car,automobile,8.94
precedent,collection,2.5
tiger,feline,8.0
shore,woodland,3.08
delay,racism,1.19
shower,thunderstorm,6.31
morality,marriage,3.69
journey,voyage,9.29
jaguar,cat,7.42
media,gain,2.88
street,children,4.94
psychology,psychiatry,8.08
stock,CD,1.31
lobster,wine,5.7
physics,chemistry,7.35
marathon,sprint,7.47
wood,forest,7.73
cup,tableware,6.85
cucumber,potato,5.92
coast,hill,4.38
travel,activity,5.0
murder,manslaughter,8.53
gem,jewel,8.96
dollar,yen,7.78
sugar,approach,0.88
planet,star,8.45
asylum,madhouse,8.87
calculation,computation,8.44
cell,phone,7.81
professor,doctor,6.62
seafood,food,8.34
television,radio,6.77
delay,news,3.31
championship,tournament,8.36
noon,string,0.54
doctor,nurse,7.0
rock,jazz,7.59
viewer,serial,2.97
volunteer,motto,2.56
experience,music,3.47
Mexico,Brazil,7.44
tiger,tiger,10.0
aluminum,metal,7.83
report,gain,3.63
attempt,peace,4.25
chance,credibility,3.88
street,avenue,8.88
announcement,effort,2.75
Mars,water,2.94
monk,oracle,5.0
cup,substance,1.92
student,professor,6.81
football,tennis,6.63
train,car,6.31
food,rooster,4.42
rooster,voyage,0.62
crane,implement,2.69
problem,airport,2.38
development,issue,3.97
tiger,organism,4.77
king,queen,8.58
profit,warning,3.88
type,kind,8.97
energy,secretary,1.81
planet,moon,8.08
lobster,food,7.81
precedent,information,3.85
benchmark,index,4.25
